"","ITIS_TSN","ScientificName_ITIS","WoRMS_AphiaID","ScientificName_WoRMS","tblcodeid_Aphia_fn","tblcodeid_Aphia","WoRMS_AphiaID_Valid"
"94",NA,NA,711847,"Dipturus flossada",4876,4876,105869
"95",NA,NA,107342,"Macropodia longipes",4882,4882,107342
"96",NA,NA,107399,"Polybius henslowii",4883,4883,107399
"97",NA,NA,883,"Polychaeta",4884,4884,883
"98",NA,NA,399562,"Sciliorhinus caniculus",4885,4885,105814
"99",NA,NA,535934,"Maia squinado",4886,4886,107350
"100",NA,NA,117940,"Thuiaria thuja",4887,4887,117940
"101",NA,NA,106849,"Anapagurus",4888,4888,106849
"102",NA,NA,117644,"Hydractinia echinata",4889,4889,117644
"103",NA,NA,117994,"Tubularia indivisa",4890,4890,117994
"104",NA,NA,117809,"Nemertesia antennina",4891,4891,117809
"105",NA,NA,1839,"Ascidiacea",4892,4892,1839
"106",NA,NA,124154,"Crossaster papposus",4893,4893,124154
"107",NA,NA,100982,"Metridium senile",4894,4894,100982
"108",NA,NA,107346,"Macropodia tenuirostris",4895,4895,107346
"109",NA,NA,138902,"Colus islandicus",4896,4896,138902
"110",NA,NA,107564,"Pontophilus spinosus",4897,4897,107564
"111",NA,NA,107281,"Thia scutellata",4898,4898,107281
"112",NA,NA,111597,"Alcyonidium diaphanum",4899,4899,111597
"113",NA,NA,123494,"Thyone",4900,4900,146116
"114",NA,NA,100706,"Urticina",4901,4901,100706
"115",NA,NA,181228,"Doris pseudoargus",4902,4902,181228
"116",NA,NA,124710,"Psolus phantapus",4903,4903,124710
"117",NA,NA,125166,"Porania (Porania) pulvillus",4904,4904,125166
"118",NA,NA,123479,"Cucumaria",4905,4905,123479
"119",NA,NA,129379,"Nereis",4906,4906,129379
"120",NA,NA,130989,"Filograna implexa",4907,4907,130989
"121",NA,NA,138938,"Volutopsius norwegicus",4908,4908,138938
"122",NA,NA,141433,"Abra alba",4909,4909,141433
"123",NA,NA,107188,"Pisidia longicornis",4910,4910,107188
"124",NA,NA,111453,"Reteporella grimaldii",4911,4911,111453
"125",NA,NA,140300,"Spisula elliptica",4912,4912,140300
"126",NA,NA,416648,"Tritonia hombergii",4913,4913,416648
"127",NA,NA,140717,"Pseudamussium peslutrae",4914,4914,140717
"128",NA,NA,236719,"Mimachlamys varia",4915,4915,236719
"129",NA,NA,140430,"Mya arenaria",4916,4916,140430
"130",NA,NA,123503,"Thyonidium",4917,4917,123503
"131",NA,NA,134285,"Suberites ficus",4918,4918,134285
"132",NA,NA,131543,"Thelepus cincinnatus",4919,4919,131543
"133",NA,NA,103471,"Aplidium",4920,4920,103471
"134",NA,NA,107531,"Spirontocaris liljeborgii",4921,4921,107531
"135",NA,NA,164811,"Demospongiae",4922,4922,164811
"136",NA,NA,117815,"Nemertesia ramosa",4923,4923,117815
"137",NA,NA,117890,"Hydrallmania falcata",4924,4924,117890
"138",NA,NA,106834,"Galathea",4925,4925,106834
"139",NA,NA,140529,"Euspira fusca",4926,4926,140529
"140",NA,NA,107273,"Atelecyclus rotundatus",4927,4927,107273
"141",NA,NA,123922,"Luidia sarsii",4928,4928,123922
"142",NA,NA,130464,"Hyalinoecia tubicola",4929,4929,130464
"143",NA,NA,141911,"Dosinia exoleta",4930,4930,141911
"144",NA,NA,140528,"Euspira catena",4931,4931,140528
"145",NA,NA,129491,"Harmothoe",4932,4932,129491
"146",NA,NA,100751,"Adamsia",4933,4933,100751
"147",NA,NA,138855,"Beringius turtoni",4934,4934,138855
"148",NA,NA,165801,"Halichondria (Halichondria) bowerbanki",4935,4935,165801
"149",NA,NA,150237,"Suberites pagurorum",4936,4936,150237
"150",NA,NA,1337,"Hydrozoa",4937,4937,1337
"151",NA,NA,132480,"Axinella infundibuliformis",4938,4938,132480
"152",NA,NA,140735,"Ensis siliqua",4939,4939,140735
"153",NA,NA,138824,"Astarte sulcata",4940,4940,138824
"154",NA,NA,231751,"Halecium halecinum",4941,4941,231751
"155",NA,NA,1292,"Anthozoa",4942,4942,1292
"156",NA,NA,106057,"Balanidae",4943,4943,106057
"157",NA,NA,140143,"Lepidochitona (Lepidochitona) cinerea",4944,4944,152774
"158",NA,NA,123920,"Luidia ciliaris",4945,4945,123920
"159",NA,NA,107345,"Macropodia rostrata",4946,4946,107345
"160",NA,NA,150642,"Epizoanthus incrustatus",4947,4947,101037
"161",NA,NA,135259,"Cyanea",4948,4948,135259
"162",NA,NA,136135,"Rissoides desmaresti",4949,4949,136135
"163",NA,NA,165853,"Halichondria (Halichondria) panicea",4950,4950,165853
"164",NA,NA,135304,"Chrysaora hysoscella",4951,4951,135304
"165",NA,NA,116986,"Pontobdella muricata",4952,4952,116986
"166",NA,NA,107301,"Ebalia tuberosa",4953,4953,107301
"167",NA,NA,223866,"Salmo trutta trutta",4683,4683,223866
"168",NA,NA,100930,"Actinauge richardi",4954,4954,100930
"169",NA,NA,132046,"Polymastia",4955,4955,132046
"170",NA,NA,107374,"Geryon trispinosus",4956,4956,107374
"171",NA,NA,138912,"Liomesus ovum",4957,4957,138912
"172",NA,NA,100817,"Bolocera tuediae",4958,4958,100817
"173",NA,NA,100951,"Hormathia digitata",4959,4959,100951
"174",NA,NA,138930,"Troschelia berniciensis",4960,4960,138930
"175",NA,NA,106918,"Geryon",4995,4995,106918
"176",NA,NA,116943,"Pontobdella",4996,4996,116943
"177",NA,NA,410724,"Golfingia (Golfingia) vulgaris vulgaris",4997,4997,410724
"178",NA,NA,138584,"Calliostoma",4998,4998,138584
"179",NA,NA,100790,"Epizoanthus",4999,4999,100790
"180",NA,NA,103717,"Ascidia virginea",5000,5000,103717
"181",NA,NA,125080,"Amphiura filiformis",5001,5001,125080
"182",NA,NA,129520,"Sabellaria",5002,5002,129520
"183",NA,NA,107079,"Upogebia",5003,5003,107079
"184",NA,NA,138823,"Astarte montagui",5004,5004,138823
"185",NA,NA,141872,"Turritella communis",5005,5005,1381415
"186",NA,NA,141929,"Timoclea ovata",5006,5006,141929
"187",NA,NA,107333,"Inachus phalangium",5007,5007,107333
"188",NA,NA,140589,"Nucula nitidosa",5008,5008,140589
"189",NA,NA,236130,"Acrocnida brachiata",5009,5009,236130
"190",NA,NA,124273,"Echinocyamus pusillus",5010,5010,124273
"191",NA,NA,101864,"Phtisica marina",5011,5011,101864
"192",NA,NA,141607,"Teredo navalis",5012,5012,141607
"193",NA,NA,140103,"Hiatella arctica",5013,5013,140103
"194",NA,NA,107729,"Callianassa subterranea",5014,5014,107729
"195",NA,NA,103732,"Ciona intestinalis",5015,5015,103732
"196",NA,NA,106889,"Ebalia",5016,5016,106889
